Period,Application_ID,Cost,Source,Source_Item
2019-04,SISLAB,5283.0,Swisscom,"Enterprise Service Cloud Platinum Basic Backup ""remote"" units"
2019-05,TMA,20.0,Swisscom,Application Cloud Dynamic Storage (S3) units
2019-01,GEORE1,0.0,Azure,Tables - GRS - Batch Write Operations
2019-04,SISLAB,4.0,Azure,Standard HDD Managed Disks - S4 - Disks - EU West
2019-03,GEORE1,246.0,Azure,Azure Database for PostgreSQL General Purpose - Compute Gen5 - vCore - EU West
2019-02,SISLAB,6.0,Azure,Backup - GRS Data Stored
2019-05,GEORE1,0.0,Azure,Files - Read Operations
2019-03,TMA,8.0,Swisscom,Enterprise Service Cloud Platinum Standard Fast Storage units
2019-02,INSIGHTSRE,168.0,Swisscom,Enterprise Service Cloud Platinum Basic Memory units
2019-07,INSIGHTSRE,63.0,Swisscom,"Enterprise Service Cloud Platinum Basic Backup ""remote"" units"
2019-01,SISLAB,3121.0,Swisscom,Enterprise Service Cloud Platinum Basic UltraFast Storage units
2019-08,PYTHIA,60.0,Swisscom,"Enterprise Service Cloud Platinum Standard Backup ""remote"" units"
2019-01,DSW,1109.0,Swisscom,Enterprise Cloud Server Memory units
2019-08,SISLAB,18.0,Swisscom,Enterprise Service Cloud Platinum Standard vCPU units
2017-11,DSW,15035.0,Utilization,Marco Strullato
2019-01,DSW,7812.0,Utilization,IBM India
2019-01,INSIGHTSRE,2444.0,Utilization,Subhradeep Das
2018-10,OCR,4347.0,Utilization,TCS
2019-07,DSW,4223.0,Group Technology Management,Server Instances - Swisscom ESC
2019-06,DSW,4164.0,Group Technology Management,Server Instances - Swisscom ESC
2019-02,DSW,3695.0,Group Technology Management,Server Instances - Swisscom ESC
2019-02,VISREPBOXI,2146.0,Group Technology Management,Business Objects Applications
2019-03,DOCSEARCH,170.0,Group Technology Management,Developer Workplace: BAMBOO
2019-01,WATSONEXP,170.0,Group Technology Management,Developer Workplace: BAMBOO
2019-02,DNA,642.0,Group Technology Management,Enterprise Backup
2019-02,DOCSEARCH,3396.0,Group Technology Management,IBM WebSphere Application Server ND Memory
2019-02,WATSONEXP,37.0,Group Technology Management,Server Storage GB - on premise
2019-06,TMA,48306.0,Utilization,CTCO
2019-01,INSIGHTSRE,18482.0,Utilization,IBM Slovakia
2018-05,DSW,16706.0,Utilization,Marco Strullato
2018-06,INSIGHTSRE,33674.0,Utilization,IBM Zurich
2018-03,TMA,3958.0,Utilization,Rajesh Mahadevaiyer
2019-02,TMA,2639.0,Utilization,Rajesh Mahadevaiyer
2019-03,SAMS,644.0,Utilization,CTCO
2019-01,SISLAB,23.0,Azure,Azure Cosmos DB - 100 RU/s - US West
2019-02,TMA,44.0,Azure,Log Analytics - Data Ingestion
2019-08,SISLAB,0.0,Azure,Bandwidth - Data Transfer In - Zone 1
2019-08,SISLAB,0.0,Azure,Tables - Batch Write Operations
2019-01,SISLAB,3.0,Azure,IP Addresses - Basic - Static Public IP
2019-07,SISLAB,2.0,Azure,Virtual Machines Dv2/DSv2 Series - D11 v2/DS11 v2 - EU West
2019-01,DOCPROXY,170.0,Group Technology Management,Developer Workplace: BAMBOO
2019-06,DOCPROXY,170.0,Group Technology Management,Developer Workplace: BAMBOO
2019-03,DNA,213.0,Group Technology Management,Swisscom Application Cloud Memory
2019-07,SFILE,710.0,Group Technology Management,Tableau Projects 2019+
2019-03,DOCPROXY,2971.0,Group Technology Management,IBM WebSphere Application Server ND Memory
2019-09,DSC,1657.0,Group Technology Management,Swisscom Oracle DBaaS - CHF spent excl. VAT
2019-01,DOCSEARCH,550.0,Group Technology Management,PowerCenter Applications
2019-04,SISLAB,251.0,Group Digital & Information Services,XenApp Hosted Application (Citrix)
2019-09,INSIGHTSRE,735.0,Swisscom,Enterprise Service Cloud Platinum Basic Memory units
2019-02,PYTHIA,180.0,Swisscom,Enterprise Service Cloud Platinum Basic Fast Storage units
2019-03,GEORE1,0.0,Azure,Tiered Block Blob - Hot - Read Operations - EU West
2019-02,SISLAB,0.0,Azure,Bandwidth - Data Transfer Out - Zone 1
2019-07,SISLAB,41.0,Azure,Standard HDD Managed Disks - S10 - Disks - EU West
2019-01,SISLAB,0.0,Azure,Service Bus - Basic - Messaging Operations
2019-03,SISLAB,0.0,Azure,Files - LRS - Write Operations
2019-08,TMA,4.0,Azure,Azure Monitor - Alerts - System Logs Monitored at 15 Minute Frequency
2019-09,GEORE1,0.0,Azure,Storage - Bandwidth - Geo-Replication Data Transfer - EU West
2019-07,SISLAB,0.0,Azure,Tiered Block Blob - All Other Operations - EU West
2019-07,TMA,586.0,Group Technology Management,Server Instances - Swisscom ESC
2019-05,INSIGHTSRE,778.0,Group Technology Management,Swisscom Application Cloud Memory
2019-03,LHTI,170.0,Group Technology Management,Developer Workplace: BAMBOO
2019-08,INSIGHTSRE,170.0,Group Technology Management,Developer Workplace: DCSCM
2019-08,GEORE1,170.0,Group Technology Management,Developer Workplace: JIRA/SCMIMT
2019-02,TMA,170.0,Group Technology Management,Developer Workplace: SVN
2019-09,SISLAB,27.0,Group Technology Management,Swisscom Application Cloud Memory
2019-08,DOCSEARCH,19322.0,Utilization,CTCO
2017-03,OCR,8694.0,Utilization,TCS
2019-03,DSW,3834.0,Utilization,Expert System
2019-03,PYTHIA,10.0,Swisscom,"Enterprise Cloud Backup Storage ""remote"" units"
2019-02,INSIGHTSRE,1501.0,Swisscom,"Enterprise Cloud Server CPU ""HA"" units"
2019-01,SISLAB,4920.0,Swisscom,Enterprise Service Cloud Platinum Basic Fast Storage units
2019-09,TMA,26.0,Swisscom,Enterprise Service Cloud Platinum Basic Fast Storage units
2019-03,SAMS,18.0,Swisscom,"Enterprise Service Cloud Platinum Standard Backup ""remote"" units"
2019-09,DATAROBOT,170.0,Group Technology Management,Developer Workplace: JIRA/SCMIMT
2019-05,PYTHIA,170.0,Group Technology Management,Developer Workplace: GIT
2019-08,DATAROBOT,1205.0,Group Technology Management,Swisscom Oracle DBaaS - CHF spent excl. VAT
2019-01,TMA,151.0,Group Technology Management,Swisscom Oracle DBaaS - CHF spent excl. VAT
2019-05,SAMS,78.0,Group Technology Management,Swisscom Oracle DBaaS - CHF spent excl. VAT
2019-02,SISLAB,172.0,Swisscom,Application Cloud Memory units
2019-03,DSW,7.0,Swisscom,Enterprise Service Cloud Platinum Standard ECO Storage units
2019-08,DSW,479.0,Swisscom,Enterprise Service Cloud Platinum Basic UltraFast Storage units
2018-06,DSW,5012.0,Utilization,Marco Strullato
2017-07,DNA,2737.0,Utilization,CTCO
2017-12,DSW,1671.0,Utilization,Lukasz Lewandowski
2019-01,PYTHIA,489.0,Utilization,Vimal Kumar
2019-06,GEORE1,3.0,Azure,IP Addresses - Basic - Static Public IP
2019-06,GEORE1,4.0,Azure,Tables - RA-GRS Data Stored
2019-04,SISLAB,0.0,Azure,Tables - RA-GRS Data Stored
2019-03,SISLAB,8.0,Azure,Virtual Machines Dv2/DSv2 promo Series - D3 v2/DS3 v2 - EU West - Expired
2019-03,TMA,0.0,Azure,Azure Monitor - Emails
